,01CPTAC_OVprospective_Proteome_JHU_20161209,02CPTAC_OVprospective_Proteome_JHU_20161104,03CPTAC_OVprospective_Proteome_JHU_20161110,04CPTAC_OVprospective_Proteome_JHU_20161111,05CPTAC_OVprospective_Proteome_JHU_20161115,06CPTAC_OVprospective_Proteome_JHU_20161216,07CPTAC_OVprospective_Proteome_JHU_20161121,08CPTAC_OVprospective_Proteome_JHU_20161213,09CPTAC_OVprospective_Proteome_JHU_20161123,10CPTAC_OVprospective_Proteome_JHU_20161128,11CPTAC_OVprospective_Proteome_JHU_20161201,12CPTAC_OVprospective_Proteome_JHU_20161202,13CPTAC_OVprospective_Proteome_JHU_20161206
01CPTAC_OVprospective_Proteome_JHU_20161209,1.0,0.7095924940052983,0.7267287060455564,0.7698787453086969,0.758476315930452,0.7509720669846155,0.7397267617010644,0.7797579030794227,0.7848032808989283,0.7482889119066156,0.7710412192737134,0.7692479960151037,0.7346846392067561
02CPTAC_OVprospective_Proteome_JHU_20161104,0.7095924940052983,1.0,0.7770217653229055,0.7607454330766983,0.7565209542846425,0.6830003076451504,0.7653185743714829,0.7293268860627422,0.7453465569176384,0.7465926467852828,0.7793895503357152,0.7680649736881415,0.7780499465167217
03CPTAC_OVprospective_Proteome_JHU_20161110,0.7267287060455564,0.7770217653229055,1.0,0.7967670717541868,0.7874580572976244,0.7187860240618583,0.7908443928532555,0.763417487878563,0.7834231688684586,0.7702526309289155,0.7962189938958225,0.7966620838936612,0.7974990513157553
04CPTAC_OVprospective_Proteome_JHU_20161111,0.7698787453086969,0.7607454330766983,0.7967670717541868,1.0,0.7873259160367044,0.7551300563894879,0.7761189111699701,0.7933330409016413,0.7885748573870324,0.7638146795905197,0.7779305750182978,0.7838075083447594,0.7800882394937049
05CPTAC_OVprospective_Proteome_JHU_20161115,0.758476315930452,0.7565209542846425,0.7874580572976244,0.7873259160367044,1.0,0.724337391730942,0.7848265663285241,0.7505486576481991,0.8106611733032808,0.7708297231126582,0.7941409091297739,0.7945643619973051,0.7801473969694908
06CPTAC_OVprospective_Proteome_JHU_20161216,0.7509720669846155,0.6830003076451504,0.7187860240618583,0.7551300563894879,0.724337391730942,1.0,0.7182659830223116,0.7462934529307449,0.7425281937930359,0.7242078916116012,0.719955186014985,0.732872716775318,0.7097264381705038
07CPTAC_OVprospective_Proteome_JHU_20161121,0.7397267617010644,0.7653185743714829,0.7908443928532555,0.7761189111699701,0.7848265663285241,0.7182659830223116,1.0,0.7444179625895668,0.7910026372718753,0.7738511545677442,0.7944375650445576,0.7933810432910618,0.790307542932214
08CPTAC_OVprospective_Proteome_JHU_20161213,0.7797579030794227,0.7293268860627422,0.763417487878563,0.7933330409016413,0.7505486576481991,0.7462934529307449,0.7444179625895668,1.0,0.769033353499703,0.7504529960455169,0.7717097458231184,0.7818743918215899,0.77874095670593
09CPTAC_OVprospective_Proteome_JHU_20161123,0.7848032808989283,0.7453465569176384,0.7834231688684586,0.7885748573870324,0.8106611733032808,0.7425281937930359,0.7910026372718753,0.769033353499703,1.0,0.792782959464842,0.8069378382681,0.8122010601438726,0.7879063945412963
10CPTAC_OVprospective_Proteome_JHU_20161128,0.7482889119066156,0.7465926467852828,0.7702526309289155,0.7638146795905197,0.7708297231126582,0.7242078916116012,0.7738511545677442,0.7504529960455169,0.792782959464842,1.0,0.8167687377783819,0.8041759044791158,0.8022008702262767
11CPTAC_OVprospective_Proteome_JHU_20161201,0.7710412192737134,0.7793895503357152,0.7962189938958225,0.7779305750182978,0.7941409091297739,0.719955186014985,0.7944375650445576,0.7717097458231184,0.8069378382681,0.8167687377783819,1.0,0.8335491734173505,0.8364527174294722
12CPTAC_OVprospective_Proteome_JHU_20161202,0.7692479960151037,0.7680649736881415,0.7966620838936612,0.7838075083447594,0.7945643619973051,0.732872716775318,0.7933810432910618,0.7818743918215899,0.8122010601438726,0.8041759044791158,0.8335491734173505,1.0,0.8283528701693191
13CPTAC_OVprospective_Proteome_JHU_20161206,0.7346846392067561,0.7780499465167217,0.7974990513157553,0.7800882394937049,0.7801473969694908,0.7097264381705038,0.790307542932214,0.77874095670593,0.7879063945412963,0.8022008702262767,0.8364527174294722,0.8283528701693191,1.0
