,01CPTAC_UCEC_Proteome_PNNL_20170922,02CPTAC_UCEC_Proteome_PNNL_20170922,03CPTAC_UCEC_Proteome_PNNL_20170922,04CPTAC_UCEC_Proteome_PNNL_20170922,05CPTAC_UCEC_Proteome_PNNL_20170922,06CPTAC_UCEC_Proteome_PNNL_20170922,07CPTAC_UCEC_Proteome_PNNL_20170922,08CPTAC_UCEC_Proteome_PNNL_20170922,09CPTAC_UCEC_Proteome_PNNL_20180222,10CPTAC_UCEC_Proteome_PNNL_20180222,11CPTAC_UCEC_Proteome_PNNL_20180222,12CPTAC_UCEC_Proteome_PNNL_20180222,13CPTAC_UCEC_Proteome_PNNL_20180503,14CPTAC_UCEC_Proteome_PNNL_20180503,15CPTAC_UCEC_Proteome_PNNL_20180503,16CPTAC_UCEC_Proteome_PNNL_20180503
01CPTAC_UCEC_Proteome_PNNL_20170922,1.0,0.6012639210213442,0.5512509317804236,0.6291900135701228,0.5067932346886431,0.4908498613969345,0.48767437263092484,0.5206663710477237,0.5141939061118771,0.4662781267438442,0.4647245356566812,0.4589086599435163,0.39223892407627287,0.4022636413270079,0.3914834130534679,0.3877114284504535
02CPTAC_UCEC_Proteome_PNNL_20170922,0.6012639210213442,1.0,0.5865047253956537,0.6056606788407585,0.474022563488356,0.4640864360590017,0.5151365589357363,0.48209139198863776,0.4924250800008494,0.48502117472020356,0.47134842922022974,0.4750909944833657,0.4029460020481691,0.40777847845884346,0.3776872625113879,0.40885311847332284
03CPTAC_UCEC_Proteome_PNNL_20170922,0.5512509317804236,0.5865047253956537,1.0,0.5394989313406039,0.47424584876679415,0.44826591526462656,0.48319962346741135,0.48086053566573195,0.48369307983989024,0.4717600506820357,0.485460395194701,0.48290343189791124,0.40077806911451197,0.39663360316815227,0.3863080709782573,0.38678404783786113
04CPTAC_UCEC_Proteome_PNNL_20170922,0.6291900135701228,0.6056606788407585,0.5394989313406039,1.0,0.49175318438809984,0.4901761009797148,0.5097238628355748,0.5033940937944023,0.499071587101979,0.47215968746597553,0.4642166930460661,0.4652412454064615,0.3913765429978054,0.39909016525084245,0.3759360825252115,0.3808414342951815
05CPTAC_UCEC_Proteome_PNNL_20170922,0.5067932346886431,0.474022563488356,0.47424584876679415,0.49175318438809984,1.0,0.5837079609064848,0.5167912827652921,0.6171693666307945,0.5084096041579301,0.44979801836201877,0.4688069088645389,0.455687149762695,0.3837343145022764,0.38956227550304895,0.3935103101103935,0.37092447707234594
06CPTAC_UCEC_Proteome_PNNL_20170922,0.4908498613969345,0.4640864360590017,0.44826591526462656,0.4901761009797148,0.5837079609064848,1.0,0.5046354814459362,0.6173236388142014,0.5026868999408863,0.44107160131372275,0.44505986769528294,0.44071228564883613,0.3780530842808351,0.39256122618846767,0.3803094090923634,0.35568318734132665
07CPTAC_UCEC_Proteome_PNNL_20170922,0.48767437263092484,0.5151365589357363,0.48319962346741135,0.5097238628355748,0.5167912827652921,0.5046354814459362,1.0,0.528793848955748,0.47629342930643886,0.47210983081615004,0.4611389697859753,0.4682503415526464,0.40386967537364193,0.3996815354098799,0.3724650759453784,0.39344266471482636
08CPTAC_UCEC_Proteome_PNNL_20170922,0.5206663710477237,0.48209139198863776,0.48086053566573195,0.5033940937944023,0.6171693666307945,0.6173236388142014,0.528793848955748,1.0,0.5030864185288171,0.45663999498127034,0.46684204639528515,0.44500149348341383,0.3889748225075222,0.3946319203878979,0.3867603792867848,0.3658758659081918
09CPTAC_UCEC_Proteome_PNNL_20180222,0.5141939061118771,0.4924250800008494,0.48369307983989024,0.499071587101979,0.5084096041579301,0.5026868999408863,0.47629342930643886,0.5030864185288171,1.0,0.4981843463569199,0.5155887519378078,0.520993265996483,0.39265621477101637,0.4028687154040087,0.38800526367193594,0.36413470285689814
10CPTAC_UCEC_Proteome_PNNL_20180222,0.4662781267438442,0.48502117472020356,0.4717600506820357,0.47215968746597553,0.44979801836201877,0.44107160131372275,0.47210983081615004,0.45663999498127034,0.4981843463569199,1.0,0.5280742380011845,0.5526391151593012,0.3747815822775532,0.37818469024932094,0.3544773968892273,0.3573620088156097
11CPTAC_UCEC_Proteome_PNNL_20180222,0.4647245356566812,0.47134842922022974,0.485460395194701,0.4642166930460661,0.4688069088645389,0.44505986769528294,0.4611389697859753,0.46684204639528515,0.5155887519378078,0.5280742380011845,1.0,0.5625862192397476,0.3777961726620936,0.37786302639926816,0.3586253916607985,0.35397083502260707
12CPTAC_UCEC_Proteome_PNNL_20180222,0.4589086599435163,0.4750909944833657,0.48290343189791124,0.4652412454064615,0.455687149762695,0.44071228564883613,0.4682503415526464,0.44500149348341383,0.520993265996483,0.5526391151593012,0.5625862192397476,1.0,0.3766840347653435,0.37624062951636666,0.3586939850345648,0.3474286739245615
13CPTAC_UCEC_Proteome_PNNL_20180503,0.39223892407627287,0.4029460020481691,0.40077806911451197,0.3913765429978054,0.3837343145022764,0.3780530842808351,0.40386967537364193,0.3889748225075222,0.39265621477101637,0.3747815822775532,0.3777961726620936,0.3766840347653435,1.0,0.49804803692613675,0.4933101727418038,0.49497273634013134
14CPTAC_UCEC_Proteome_PNNL_20180503,0.4022636413270079,0.40777847845884346,0.39663360316815227,0.39909016525084245,0.38956227550304895,0.39256122618846767,0.3996815354098799,0.3946319203878979,0.4028687154040087,0.37818469024932094,0.37786302639926816,0.37624062951636666,0.49804803692613675,1.0,0.510254180460058,0.5031703502127931
15CPTAC_UCEC_Proteome_PNNL_20180503,0.3914834130534679,0.3776872625113879,0.3863080709782573,0.3759360825252115,0.3935103101103935,0.3803094090923634,0.3724650759453784,0.3867603792867848,0.38800526367193594,0.3544773968892273,0.3586253916607985,0.3586939850345648,0.4933101727418038,0.510254180460058,1.0,0.4887162850757347
16CPTAC_UCEC_Proteome_PNNL_20180503,0.3877114284504535,0.40885311847332284,0.38678404783786113,0.3808414342951815,0.37092447707234594,0.35568318734132665,0.39344266471482636,0.3658758659081918,0.36413470285689814,0.3573620088156097,0.35397083502260707,0.3474286739245615,0.49497273634013134,0.5031703502127931,0.4887162850757347,1.0
