,01CPTAC_LUAD_Proteome_BI_20180515,02CPTAC_LUAD_Proteome_BI_20180518,03CPTAC_LUAD_Proteome_BI_20180521,04CPTAC_LUAD_Proteome_BI_20180524,05CPTAC_LUAD_Proteome_BI_20180527,06CPTAC_LUAD_Proteome_BI_20180530,07CPTAC_LUAD_Proteome_BI_20180602,08CPTAC_LUAD_Proteome_BI_20180606,09CPTAC_LUAD_Proteome_BI_20180620,10CPTAC_LUAD_Proteome_BI_20180626,11CPTAC_LUAD_Proteome_BI_20180905,12CPTAC_LUAD_Proteome_BI_20180912,13CPTAC_LUAD_Proteome_BI_20180629,14CPTAC_LUAD_Proteome_BI_20180711,15CPTAC_LUAD_Proteome_BI_20180714,16CPTAC_LUAD_Proteome_BI_20180718,17CPTAC_LUAD_Proteome_BI_20180720,18CPTAC_LUAD_Proteome_BI_20180726,19CPTAC_LUAD_Proteome_BI_20180730,20CPTAC_LUAD_Proteome_BI_20180809,21CPTAC_LUAD_Proteome_BI_20180817,22CPTAC_LUAD_Proteome_BI_20180820,23CPTAC_LUAD_Proteome_BI_20180822,24CPTAC_LUAD_Proteome_BI_20180829,25CPTAC_LUAD_Proteome_BI_20180901
01CPTAC_LUAD_Proteome_BI_20180515,1.0,0.45024502187180077,0.3905566664999481,0.33290815475358565,0.37453199510474317,0.33136357316511583,0.362840413631544,0.31886701341798424,0.29433420373668734,0.2286825435074275,0.36048221614312903,0.3013833181395724,0.22284288507924052,0.3486365889033682,0.35352343922812574,0.35825246086312024,0.3303660450405824,0.3186865310404097,0.3544575517768447,0.332607046080815,0.37657739565549375,0.37397310199443423,0.278299867301967,0.35675141973813274,0.348601894584759
02CPTAC_LUAD_Proteome_BI_20180518,0.45024502187180077,1.0,0.46208237060085106,0.3791985584489996,0.39380897456588393,0.33877663855436313,0.3662725275257597,0.3582279339242371,0.31736002735803465,0.2644091655600382,0.36765459543957346,0.3418647537062155,0.24767299675631138,0.35881073056748364,0.36010946951515344,0.36781394956735364,0.3672586833340023,0.34141573666406194,0.36709327117055157,0.3630303773585971,0.3620349024552828,0.3789169624620174,0.3164561840251063,0.34018421403387705,0.37795634425012714
03CPTAC_LUAD_Proteome_BI_20180521,0.3905566664999481,0.46208237060085106,1.0,0.4280543173489199,0.37502859984422526,0.37353368841644746,0.35353813558992825,0.3688742214655781,0.3096963438535712,0.300964305204199,0.34836390132187994,0.3718634812358167,0.29749368674898474,0.3721227858797498,0.3401353111947165,0.351151650685106,0.3603852621320406,0.35221322748459344,0.3559220797264034,0.3913101830996578,0.3463349475694002,0.37047950939209756,0.3307944026487945,0.32928634077922325,0.34879593260935504
04CPTAC_LUAD_Proteome_BI_20180524,0.33290815475358565,0.3791985584489996,0.4280543173489199,1.0,0.36849028681534646,0.3874339192286595,0.3263463750039288,0.3645446445522309,0.31272046010722004,0.3428555310010442,0.3399433276821474,0.3741581757898225,0.3286443699272977,0.3715623355333198,0.3238421640745007,0.32758037244361127,0.3476483188459511,0.35337385755834033,0.3595175033178634,0.38882147284120294,0.32696818137358763,0.3573985046339426,0.34116846483158686,0.3183290344681719,0.329994821429945
05CPTAC_LUAD_Proteome_BI_20180527,0.37453199510474317,0.39380897456588393,0.37502859984422526,0.36849028681534646,1.0,0.31201898269782424,0.3213444546663186,0.3130519866266847,0.29907350682160105,0.2609622269769912,0.3200877070114775,0.3118506321642154,0.2389606395193844,0.3335993346388252,0.3451964212352934,0.31171623538655385,0.3260250573517378,0.3101631371737061,0.33536475607810334,0.3339965535162489,0.35024003344854937,0.367344142604917,0.32209399369374747,0.30732982529576847,0.3226944405131408
06CPTAC_LUAD_Proteome_BI_20180530,0.33136357316511583,0.33877663855436313,0.37353368841644746,0.3874339192286595,0.31201898269782424,1.0,0.34469247761258826,0.33912667846570355,0.26803981764583956,0.24946279958993425,0.33927943070955036,0.3310621028025935,0.27419428369114407,0.37019209923861807,0.32368019194784625,0.31928601312908145,0.3269816592262696,0.330758699067511,0.35435866840731095,0.35232508961767,0.34498343076386595,0.34601338552867184,0.29833972022824795,0.3161527323279663,0.32343668738432796
07CPTAC_LUAD_Proteome_BI_20180602,0.362840413631544,0.3662725275257597,0.35353813558992825,0.3263463750039288,0.3213444546663186,0.34469247761258826,1.0,0.42428036679763154,0.2734557963720931,0.21756794765727783,0.38760729993860915,0.3061366390803161,0.2214970229455154,0.35825811788810336,0.3373999391285049,0.34223917312128643,0.34820279976839064,0.30323962614531846,0.35107520862463826,0.32582385255386237,0.3591604258615981,0.35447088920498837,0.2993224409641062,0.3322479318555696,0.3819710976604367
08CPTAC_LUAD_Proteome_BI_20180606,0.31886701341798424,0.3582279339242371,0.3688742214655781,0.3645446445522309,0.3130519866266847,0.33912667846570355,0.42428036679763154,1.0,0.24626374302606352,0.24692196624574236,0.32257010614738685,0.28413941162920087,0.23762031571096173,0.32117766286870614,0.2843497685408303,0.31275773644683297,0.3205483003651872,0.3032164296337373,0.3449817683276993,0.32591865865978825,0.3210432192109269,0.36273147491809193,0.3647277181305024,0.2846977986963435,0.31158678191964667
09CPTAC_LUAD_Proteome_BI_20180620,0.29433420373668734,0.31736002735803465,0.3096963438535712,0.31272046010722004,0.29907350682160105,0.26803981764583956,0.2734557963720931,0.24626374302606352,1.0,0.28603323928435903,0.3094469918800612,0.32593018601566254,0.2807927131177232,0.33120655122206555,0.3282584781907555,0.3167899800780359,0.314884566695282,0.3017087031251552,0.29685749843890447,0.2988982948447769,0.30439710897125555,0.30684071581932215,0.2576438132006832,0.28346529958910777,0.29958429926410995
10CPTAC_LUAD_Proteome_BI_20180626,0.2286825435074275,0.2644091655600382,0.300964305204199,0.3428555310010442,0.2609622269769912,0.24946279958993425,0.21756794765727783,0.24692196624574236,0.28603323928435903,1.0,0.23894681238932056,0.3394290005215436,0.3712103666346979,0.2869115316942065,0.254406625164347,0.2531835229917972,0.2857249254516886,0.3060479102765286,0.2678418127596282,0.2955158948024239,0.23889722347631998,0.2619131371367505,0.2620654778622786,0.21661696201159372,0.23491748204033977
11CPTAC_LUAD_Proteome_BI_20180905,0.36048221614312903,0.36765459543957346,0.34836390132187994,0.3399433276821474,0.3200877070114775,0.33927943070955036,0.38760729993860915,0.32257010614738685,0.3094469918800612,0.23894681238932056,1.0,0.33100892204895876,0.23651740646550606,0.3795021754000237,0.35474136927898314,0.3593062739810652,0.3625316938928386,0.325002279442823,0.36517555696253784,0.3442341732931475,0.36648155220006906,0.34971578439088474,0.2902793369926879,0.3801595782019053,0.5180753782570708
12CPTAC_LUAD_Proteome_BI_20180912,0.3013833181395724,0.3418647537062155,0.3718634812358167,0.3741581757898225,0.3118506321642154,0.3310621028025935,0.3061366390803161,0.28413941162920087,0.32593018601566254,0.3394290005215436,0.33100892204895876,1.0,0.3340796025105256,0.35790433136281324,0.342996119682213,0.3293436139785153,0.34722482745126454,0.3431039440023719,0.3330079403278844,0.34391244659363746,0.3135590944092104,0.33522912313717734,0.2830201654963442,0.31579029456926133,0.3225106680522581
